masterid,Year,wimasVol_km3,wimasIrrArea_ha,wtElev_m,wtRelative0_m,wtRelative2012_m,annualChange_m,aimIrr_ha,pr_calendar_mm,pr_JanAug_mm,pr_grow_mm,aridity,totalArea_ha,cropActive_ha,fallow_ha,doubleCropped_ha,nonAg_ha,irrigated_ha,rainfed_ha,Alfalfa_irrigated_ha,Alfalfa_rainfed_ha,Corn_irrigated_ha,Corn_rainfed_ha,Sorghum_irrigated_ha,Sorghum_rainfed_ha,Soybeans_irrigated_ha,Soybeans_rainfed_ha,WinterWheat_irrigated_ha,WinterWheat_rainfed_ha,cornPriceAdj2017
sheridan,2003,41.755653946799995,10051.186182000001,829.0097262383669,-2.9127648970387554,3.6863505764216598,-1.1446481906831423,6394.376972704385,373.5987938793038,363.4440071953323,249.66449857334007,0.2550142604928084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27
null_geo9,2004,38.5091469216,9107.053744,885.9970783481937,-2.705392826238267,1.919074620956053,-0.5217705299633053,7338.784610778809,532.9947867341938,486.4671316014988,372.81639932267086,0.3960031912346065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47
sheridan,2004,40.844568614399996,10109.460966,828.4423274719759,-3.480163663429721,3.118951810030694,-0.5673987663909656,8556.783438409113,531.531906340029,490.37109883339167,378.01865624405224,0.4000139680665505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47
null_geo9,2005,32.8189063248,9052.421134,885.7524982279339,-2.9499729464980646,1.6744945006962553,-0.2445801202597977,7200.68526572043,575.7342846099374,544.5254279204773,403.8090367681821,0.39625700719941676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96
sheridan,2005,35.014796759999996,9929.375696000001,827.8978200264303,-4.024671108975326,2.574444364485089,-0.5445074455456052,8628.505105415612,607.1641172886062,573.1319307109317,408.6905070465523,0.39985045801964375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96
null_geo9,2006,38.5199892108,9010.738476,885.7254798031418,-2.9769913712901825,1.6474760759041374,-0.027018424792117912,7856.945015463245,513.6532301119,386.0697960574497,327.13459462112127,0.32647683666220906,25553.425365574356,16374.308963056068,3764.5278642601106,NA,5414.588538258176,7500.019188049843,8874.289775006224,163.53660048828127,58.81161730621935,6625.182625050169,3726.214115807292,411.77514236069624,827.4746801370062,77.6798235107422,25.257407327378218,170.8661773700789,4212.739850384115,2.28
sheridan,2006,32.983859605199996,9828.608882,827.5039525504815,-4.418538584924136,2.1805768885362795,-0.39386747594880944,5054.599943487548,540.0776653587915,404.9925272019651,342.7170986365877,0.3409108756926066,25524.968303536105,14732.363997418903,4775.336181869352,NA,6017.268124247851,4564.844855921894,10167.519141497009,233.05140200195314,124.62516940917969,3403.586461556277,5746.883319730677,512.5921228759765,1230.5508653505094,236.75861792518768,33.03342983369715,159.97708359375,2998.660416297199,2.28
null_geo9,2007,34.9112954532,9160.472296000002,885.1508513381025,-3.5516198363294507,1.0728476108648692,-0.5746284650392681,7662.725918063032,458.19677572386945,529.739459423279,279.3447346947291,0.2824108984998656,25553.425365574352,16923.303858352865,2184.340756164982,NA,6445.780751056507,7444.632865789386,9478.670992563477,147.54118040268844,27.58271286621094,6662.924792705651,4682.123618147019,67.03120517578125,1003.5027154704735,382.0401184326172,69.49418064252069,178.56488621132044,3684.2940724202485,3.39
sheridan,2007,36.4665287112,10039.450288000002,827.3220932991874,-4.600397836218235,1.99871763724218,-0.18185925129409952,8598.09907735706,461.81189592445173,543.4340448728625,287.7935516390685,0.2922251481641299,25524.968303536116,17143.96426200559,1645.9427825698913,NA,6735.061258960634,8325.401296877299,8818.562965128292,276.8410544189453,81.06949409179688,7019.917919631204,4620.766756494523,66.80086423339844,785.4461256887638,687.868568310547,41.142991699218754,265.500273046875,3274.1346230386403,3.39
null_geo9,2008,29.743334958,8852.101564,884.957208772618,-3.7452624018139886,0.8792050453803313,-0.19364256548453795,7828.9061992661655,579.9590006531581,542.5149631880878,434.3198602124658,0.4569630214487648,25553.13335107496,17516.145068020807,3055.842152843017,23.948733068847655,4981.146130211136,7787.066720836038,9729.07834718477,169.40166638183595,39.64529827978995,6639.890273259636,4066.3873688647695,167.66523970947267,1398.2506761053824,720.3600937739114,136.9404358359423,70.03567149658204,4073.3496413341077,4.78
sheridan,2008,34.367774826,10112.293768000001,826.701349479127,-5.221141656278633,1.3779738171817826,-0.6207438200603974,8724.25114335983,602.5768317298532,561.3868843922453,446.06935464169277,0.4709685987627291,25526.5169512741,17604.673897254856,2848.487771767148,58.08392312011719,5073.3552822521,8671.874287019331,8932.799610235525,154.031343548584,46.24977701416016,6925.641521015913,4604.414080694221,136.53558094482423,1235.4214781984338,1304.0917147155762,199.4305153648945,64.16427963256837,2774.1344258522427,4.78
null_geo9,2009,21.5683599144,9039.066496000001,884.9705336079795,-3.731937566452416,0.892529880741904,0.013324835361572696,6646.566556189898,666.0326022788579,578.2145096309694,464.5447271645351,0.5453060124643333,25553.13335107496,17391.209690075277,3179.099221184967,NA,4982.824439814718,6592.006584942029,10799.203105133247,131.0892328491211,33.073250521096625,5691.596699514974,5952.977138148983,121.53751488647461,805.4633857365866,422.49275751670694,125.00408977287744,223.76260524799423,3878.156240103352,3.75
sheridan,2009,27.445497400799997,10121.601546000002,826.4255351318657,-5.496956003539935,1.1021594699204798,-0.27581434726130283,9704.649940718922,659.1538039362235,567.5533247806833,451.2247004082012,0.5296595740122196,25526.516951274105,17686.156934597027,2808.2810888322665,0.34707357177734377,5032.078927844811,9596.122167702495,8090.034766894533,144.08475576171875,45.2275708641142,7403.299132987014,3768.7483187223065,95.21417854003907,676.3817375985897,1518.7242930175782,218.02115751953127,420.35104761220896,3363.9304071621546,3.75
null_geo9,2010,27.422110619999998,9100.578768000001,884.7731827955979,-3.9292883788340305,0.6951790683602894,-0.19735081238161456,8314.259669932264,522.9278407343869,526.2341096654907,332.52627785939643,0.3249819142075847,25553.133351074965,18806.675141321426,1964.363369929774,6.526119683837891,4782.094839823765,8227.12313578252,10579.552005538906,134.76584151000978,79.36537472984163,6923.724905115155,5985.049557393775,173.312533516367,985.4222616776768,867.2357994589413,254.18210069685398,121.25462900668276,3215.0119104623604,3.83
sheridan,2010,33.235933578,10249.077636000002,826.1054873504825,-5.817003784923145,0.7821116885372703,-0.32004778138320944,10107.803962351123,482.58353474771536,489.7745747239142,290.4578401773712,0.28078004235970005,25526.516951274105,19171.499165299985,1696.2816320628206,11.963264847699335,4658.736153911299,10035.441089002903,9136.058076297082,159.96446243286132,67.35547164505304,7195.796266480044,5349.687118474888,199.80370958251953,555.3059384516935,2162.828465231072,312.52992700233614,185.78528867606371,2815.831876535142,3.83
null_geo9,2011,33.6413044452,9198.917466,884.5054748354579,-4.1969963389740315,0.42747110822028844,-0.267707960140001,8704.519015192682,590.5030810087202,554.6498978001844,453.5461990166971,0.41412501090704606,25553.133351074965,18073.367048613523,2901.693166391075,91.25329247429343,4578.073136070367,8656.65418047701,9416.712868136514,50.62226117553711,28.962557793734685,7536.5295601493335,5736.994518822165,112.06163968304801,601.6152743676996,767.6588413501935,70.98469029294482,182.62936369628906,2878.510519407648,6.02
sheridan,2011,32.3111072784,9979.556760000001,825.4980919116598,-6.424399223745809,0.17471624971460642,-0.6073954388226639,9834.218761082262,610.1161904440888,569.4738720927561,472.13086092905235,0.42401531622915606,25526.5169512741,18846.869089026404,2006.2447142815795,19.515076287841797,4673.403147966117,9771.17928292447,9075.689806101935,186.50425137329103,40.86783617529776,7840.1124380924,5682.571151306248,252.40741418021406,756.6783800675215,1434.0304665283204,168.14022672372857,46.8772051147461,2409.1484216746367,6.02
null_geo9,2012,43.3784449044,9271.35626,884.0780037272376,-4.62446744719432,0,-0.42747110822028844,7131.495605622989,319.51010088966103,311.3646229161629,178.13598503054556,0.15004707692114141,25553.133351074965,18575.103205959163,2038.335556280087,0.832706219482422,4939.694588835714,7092.4095194464235,11482.693686512739,182.5406419189453,135.17448280859853,5735.471212216893,6239.218137000828,76.14970322265626,379.2101635085402,529.2448857989144,85.07418481773227,552.0571632396983,4568.440516971915,6.67
sheridan,2012,41.7820010796,9828.204196,825.3233756619452,-6.599115473460415,0,-0.17471624971460642,6556.364180052323,340.22515321245714,332.7055922375551,189.56245050303417,0.15766692114968925,25526.5169512741,18395.710295346176,2050.8030363066555,0.2775473754882813,5080.003619621269,6517.032886603622,11878.677408742555,119.31983484542548,58.371430518655224,5096.89074666176,8272.982761599622,126.89279304809571,569.7462289531871,958.7656917297363,144.39959028930664,214.95554582519532,2824.338762677385,6.67
null_geo9,2013,37.3452228588,9092.485048,883.6487994523209,-5.053671722111062,-0.4292042749167422,-0.4292042749167422,7920.992172761804,423.4900670238509,436.5424321491797,340.98153539817395,0.3259637196438601,25553.133351074965,18812.967697548014,2199.4778534853945,285.7428151680262,4540.687800041554,7892.002423211741,10920.965274336273,92.90675725708009,18.87955055541992,6162.795445136719,5763.500728107815,314.6764234588025,1682.859855070777,905.753406989028,35.19371657262466,317.102297254878,3232.0296916374896,6.15
sheridan,2013,24.3779066496,9557.469262,824.6879607596728,-7.234530375732788,-0.6354149022723732,-0.6354149022723732,7874.232935282151,417.5127185923562,427.9860757933741,335.24462731822877,0.31465478106776457,25526.5169512741,18911.46449088525,2072.4851060494457,55.557800799560546,4542.567354339406,7829.896909891023,11081.567580994228,190.78201707974304,74.82620786108878,4924.791208066047,5059.394750246703,1053.5594387506942,2305.7997672808,1446.3190856490792,78.0664510498047,172.43089239501953,3491.534237903359,6.15
null_geo9,2014,32.7276288048,9102.197512,883.4333623400806,-5.2691088343513,-0.6446413871569803,-0.2154371122402381,8372.486544165924,501.2842815244847,474.40249984177314,421.82907649309055,0.44010071274121654,25553.133351074965,16746.4263913765,2999.729295405968,91.7560920181813,5806.977664292497,8127.509068031964,8618.917323344534,109.67582183227539,23.38397180285884,6867.05331678821,4102.8488656279915,400.2645406221038,830.2650976656087,275.80723518676757,56.50736590961532,295.1884074783385,3516.653639646451,4.11
sheridan,2014,24.9896387208,9803.51835,824.3938319253864,-7.528659210019214,-0.9295437365587986,-0.29412883428642544,9174.457305613463,502.02539294302363,478.07792139027566,409.21611156952565,0.42050039000346734,25526.516951274105,17169.13551679343,2607.505342721953,127.16313040771485,5749.876091758721,8947.47960685851,8221.655909934922,58.73107218017579,28.836311582294538,6166.746180831562,3753.1726976459586,1276.8636579788508,1189.151877075722,604.6432311157226,14.104941497300095,642.1794011413574,3198.6794791490274,4.11
null_geo9,2015,31.638996361199997,9221.175196,883.194483363887,-5.5079878105449325,-0.8835203633506126,-0.2388789761936323,8110.785159007498,583.4418025504173,511.29934768045007,412.491140203053,0.4304090667127827,25553.13335107496,18175.225930952245,2895.3201537520335,11.656872882080078,4482.587266370683,8068.316974281342,10106.908956670903,51.587407635498046,15.672721266850493,6831.560149409276,4503.347164770961,326.6229735632564,1089.851012804913,506.19229790197033,14.995876989746094,326.0254912791533,4440.909409555474,3.71
sheridan,2015,20.6014472772,9689.801584,824.6159340861944,-7.306557049211165,-0.7074415757507495,0.22210216080804912,8740.883576286285,619.3050408819057,530.2272843365467,422.23632743664587,0.4356845731223088,25526.516951274105,18487.84419944219,2555.685485771174,28.3212280456543,4482.987266060742,8673.661865964476,9814.182333477715,43.94547819213867,18.46938246459961,5503.352206818752,3868.071535465088,1135.995001164168,1752.932519461431,1164.8222711791993,69.50418408782362,704.1840295941042,3947.642456792114,3.71
null_geo9,2016,33.3468604344,9093.699106,882.7871650078828,-5.915306166549158,-1.2908387193548378,-0.4073183560042253,9255.366897436668,470.19731127297405,460.6113659759219,288.44078816674437,0.2977814116941337,25553.133351074965,18885.9693737562,2218.365204179759,0.6072304408174403,4448.798773139003,9183.06170517047,9702.907668585733,42.48466530761719,6.593427709960938,7463.193296973017,5288.684194861847,205.24515501395433,583.0069330687999,592.3758846069336,48.80644399414063,865.7973297276877,3739.099178074783,3.48
sheridan,2016,23.179469816399997,9534.402160000001,824.478320282763,-7.444170852642628,-0.8450553791822131,-0.13761380343146357,10244.27968324324,558.8392660279583,551.6912379766792,375.12287928863014,0.38315908315359876,25526.516951274105,18923.11427345768,2231.432366909085,1.3891547302246094,4371.97031090734,10166.046132606682,8757.068140850997,137.99762993164063,31.502377355957034,7186.22109270022,5052.803803052835,1085.3115701667816,1046.720106489282,565.5049123046875,7.5707560058593755,1152.6657048776187,2570.305359634124,3.48
null_geo9,2017,22.577987964,9230.482974,882.5949371307794,-6.107534043652549,-1.4830665964582295,-0.19222787710339162,6472.063429384528,738.7402194324902,743.5878699120525,553.5869386090884,0.5908643078254644,25553.13335107496,17850.542416056505,3262.830864452455,1.3887878479003908,4439.760070566,6369.704854985878,11480.837561070628,35.4022365600586,10.454707605554917,5125.8507306992715,7798.410903296592,60.72970438586665,723.3242937513883,855.1521375122071,166.94543398724724,290.62589337486116,2701.7227313948565,3.36
sheridan,2017,17.7626917356,9358.36375,824.5122393404813,-7.4102517949243065,-0.8111363214638914,0.03391905771832171,8090.547886815474,810.0218217030932,814.2032716585072,611.8773086192592,0.6411919034140592,25526.5169512741,18274.1661139613,2873.0969428655176,0.34733083496093753,4379.253894447283,8052.689550913661,10221.47656304764,37.033676977539066,25.592760673852062,6243.578700578829,6699.272333840665,257.8746765372243,943.9970602173568,1048.6448787597658,81.69927990009383,344.71430427246094,2343.3372663582845,3.36
